timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp,Unnamed: 10
6360608,-0.05,-0.08,1.0,2.69,-2.26,1.83,940.61,20.94,
6360647,-0.04,-0.09,1.0,2.44,-0.67,1.89,940.62,20.92,
6360685,-0.02,-0.08,1.0,1.83,-0.31,1.53,940.69,20.93,
6360723,-0.05,-0.07,0.97,1.77,0.37,1.59,940.67,20.93,
6360762,-0.02,-0.06,1.0,1.77,1.71,1.46,940.68,20.93,
6360800,0.0,-0.09,1.0,2.01,2.81,1.1,940.66,20.92,
6360850,-0.04,-0.07,1.0,2.38,2.75,1.22,940.62,20.91,
6360888,-0.03,-0.09,1.02,2.5,2.81,1.46,940.71,20.92,
6360926,-0.05,-0.09,0.96,2.44,4.03,1.16,940.64,20.92,
6360965,-0.02,-0.08,1.0,2.32,3.54,1.04,940.58,20.92,
6361003,-0.01,-0.08,0.99,2.26,3.85,1.34,940.65,20.93,
6361041,-0.03,-0.09,0.91,1.95,3.42,1.1,940.65,20.93,
6361079,-0.04,-0.08,0.95,2.38,3.6,1.1,940.64,20.92,
6361118,-0.02,-0.09,0.94,1.89,5.13,1.16,940.64,20.92,
6361156,-0.03,-0.09,0.98,2.5,4.64,0.92,940.68,20.93,
6361206,-0.03,-0.08,0.9,1.59,4.64,0.85,940.64,20.92,
6361244,-0.04,-0.08,0.97,2.08,4.27,0.98,940.62,20.92,
6361283,-0.04,-0.09,0.89,1.28,4.82,1.1,940.65,20.92,
6361321,-0.01,-0.07,0.98,2.26,3.48,0.98,940.69,20.92,
6361359,-0.05,-0.09,0.83,1.65,4.76,1.22,940.71,20.93,
6361397,-0.04,-0.07,0.83,2.26,2.56,1.28,940.7,20.93,
6361436,-0.0,-0.08,0.81,2.75,1.28,1.04,940.69,20.93,
6361474,-0.0,-0.08,0.78,2.08,0.98,1.04,940.67,20.92,
6361512,-0.02,-0.09,0.84,2.56,0.37,1.34,940.7,20.94,
6361551,-0.0,-0.09,0.82,1.77,-0.06,1.1,940.74,20.93,
6361601,-0.06,-0.08,0.9,1.89,-0.55,1.16,940.77,20.93,
6361639,-0.02,-0.08,0.95,1.59,-0.79,1.1,940.72,20.92,
6361677,0.0,-0.08,1.0,2.2,-1.28,0.61,940.7,20.92,
6361715,-0.03,-0.08,0.98,1.71,-0.43,0.67,940.73,20.93,
6361754,-0.02,-0.08,0.98,1.89,-0.24,0.73,940.78,20.93,
6361792,-0.02,-0.07,0.99,1.46,0.43,0.55,940.81,20.93,
6361830,-0.02,-0.08,0.99,1.4,0.43,0.73,940.72,20.92,
6361869,-0.03,-0.09,0.99,1.22,0.73,0.55,940.78,20.93,
6361907,-0.04,-0.07,1.0,1.4,0.67,0.43,940.82,20.93,
6361945,-0.03,-0.07,1.01,1.22,1.22,0.61,940.8,20.93,
6361995,-0.0,-0.08,1.02,1.28,1.89,0.31,940.79,20.92,
6362033,-0.02,-0.08,1.01,1.4,3.11,0.37,940.86,20.93,
6362072,-0.01,-0.09,1.01,1.65,3.36,0.31,940.8,20.92,
6362110,-0.01,-0.07,0.98,1.53,3.05,0.24,940.84,20.93,
6362148,-0.02,-0.07,0.97,1.71,3.72,0.18,940.79,20.92,
6362187,-0.02,-0.08,0.95,1.71,3.91,0.31,940.83,20.93,
6362225,-0.01,-0.09,0.96,2.01,3.85,0.06,940.83,20.92,
6362263,0.0,-0.07,0.95,1.83,3.3,0.06,940.88,20.93,
6362301,-0.01,-0.08,0.97,2.08,2.62,0.18,940.89,20.94,
6362351,0.0,-0.08,0.98,1.89,1.53,0.06,940.84,20.92,
6362390,-0.02,-0.08,1.0,1.89,1.1,-0.12,940.87,20.92,
6362428,-0.01,-0.08,0.98,1.4,0.98,0.0,940.82,20.92,
6362466,-0.01,-0.07,1.02,1.4,-0.06,0.0,940.89,20.93,
6362504,-0.01,-0.08,1.04,1.22,-0.37,0.12,940.87,20.93,
6362543,-0.02,-0.08,1.1,1.53,-1.1,-0.24,940.84,20.92,
6362581,-0.03,-0.07,1.15,1.28,-1.22,-0.12,940.85,20.93,
6362619,-0.01,-0.06,1.19,1.53,-1.28,-0.18,940.91,20.93,
6362658,-0.02,-0.07,1.15,1.28,-0.24,-0.37,940.88,20.93,
6362696,-0.04,-0.07,1.16,1.46,-0.55,-0.31,940.91,20.93,
6362746,-0.03,-0.08,1.15,1.34,0.24,-0.55,940.91,20.92,
6362784,-0.03,-0.07,1.16,1.4,-15.5,-0.43,940.89,20.92,
6362822,-0.04,-0.07,1.14,1.53,0.31,-0.49,940.86,20.93,
6362861,-0.05,-0.07,1.14,1.95,0.43,-0.31,940.9,20.94,
6362899,-0.05,-0.09,1.1,2.08,0.12,-0.31,940.94,20.93,
6362937,-0.05,-0.07,1.09,2.01,-0.24,-0.24,940.9,20.93,
6362976,-0.06,-0.07,1.08,2.14,0.37,-0.18,940.99,20.94,
6363014,-0.05,-0.07,1.06,2.14,1.46,0.0,940.87,20.92,
6363052,-0.05,-0.07,1.06,2.38,2.08,0.06,940.92,20.93,
6363128,-0.06,-0.07,1.03,2.75,2.99,0.18,940.92,20.91,
6363167,-0.06,-0.08,1.0,2.99,4.27,0.37,940.92,20.92,
6363205,-0.05,-0.08,0.95,3.05,4.88,0.37,940.91,20.92,
6363295,-0.06,-0.08,0.86,3.17,5.92,0.61,940.92,20.89,
6363333,-0.06,-0.07,0.86,3.36,5.86,0.92,940.87,20.9,
6363371,-0.05,-0.08,0.84,3.11,6.16,1.04,940.87,20.9,
6363409,-0.06,-0.08,0.85,2.75,5.37,1.16,940.93,20.9,
6363448,-0.06,-0.08,0.86,2.75,5.31,1.28,940.86,20.92,
6363486,-0.05,-0.08,0.84,2.44,4.82,1.65,940.88,20.92,
6363524,-0.06,-0.08,0.86,2.5,4.76,1.71,940.94,20.92,
6363574,-0.05,-0.07,0.87,2.26,4.39,2.14,940.9,20.92,
6363613,-0.06,-0.08,0.88,2.26,4.52,2.14,940.92,20.92,
6363651,-0.03,-0.08,0.91,2.08,4.09,2.32,940.97,20.92,
6363689,-0.05,-0.08,0.92,2.14,3.54,2.62,940.92,20.92,
6363727,-0.04,-0.07,0.96,1.89,2.75,2.81,940.92,20.92,
6363766,-0.04,-0.08,0.96,2.08,2.5,2.87,940.98,20.92,
6363804,-0.05,-0.07,0.95,1.28,2.32,3.17,940.95,20.93,
6363842,-0.05,-0.07,1.02,1.95,2.26,3.48,940.96,20.93,
6363881,-0.02,-0.08,0.94,1.04,2.5,3.48,941.01,20.93,
6363919,-0.05,-0.06,0.98,1.65,1.04,3.36,940.94,20.93,
6363969,-0.04,-0.09,0.93,1.34,2.2,3.6,940.99,20.92,
6364007,-0.03,-0.07,1.0,1.83,1.28,3.42,940.96,20.92,
6364045,-0.04,-0.08,0.97,1.59,1.95,3.78,940.98,20.93,
6364084,-0.03,-0.08,0.99,1.4,1.34,3.72,941.04,20.93,
6364122,-0.04,-0.08,1.01,1.04,2.5,3.66,941.02,20.93,
6364160,-0.04,-0.08,1.04,1.04,2.5,3.91,941.03,20.93,
6364198,-0.02,-0.08,1.05,1.22,2.14,3.85,941.08,20.93,
6364237,-0.02,-0.08,1.01,1.22,2.2,3.66,941.04,20.94,
6364275,-0.03,-0.06,1.05,1.4,2.01,3.97,941.08,20.95,
6364325,-0.0,-0.08,1.01,1.34,2.08,4.15,941.04,20.92,
6364363,-0.02,-0.07,1.07,1.65,0.55,3.91,941.06,20.94,
6364402,-0.05,-0.08,1.02,1.28,1.22,4.21,941.05,20.93,
6364440,0.0,-0.07,1.09,1.4,-0.18,3.91,941.05,20.94,
6364478,-0.02,-0.09,1.08,1.46,0.24,3.85,941.08,20.93,
6364516,-0.03,-0.08,1.05,0.98,-0.18,4.03,941.1,20.93,
